Cargo,Empresa
None,PEBMED
None,Worldgroup Careers MWT
None,MadeiraMadeira
None,A3Data
None,Firjan
Cientista de Dados PL,americanas s.a
None,Favo Brasil
None,FreteBras
Cientista de Dados,Edesoft
Cientista de Dados,Buser
Cientista de Dados,Externo
Cientista de dados,Bridge & Co.
Cientista de Dados,Liv Up
None,Carreiras Méliuz
Cientista de Dados,2RP Net
Cientista de Dados,Tech Sicredi
Cientista de Dados I,Martins
Cientista de dados Júnior,Porto Seguro
Cientista de Dados,Brivia
Cientista de Dados Pleno,Open Co
None,Grupo Primo
Cientista de Dados,Indra
None,Grupo Malwee
GDP-395 - Cientista de Dados - Pleno (Remoto),Instituto Atlântico
Cientista de dados,Trade Technology
None,EY
None,Curriculum.com.br
Cientista de Dados Pleno,Aquarela Analytics
Cientista de Dados,Oi
Pessoa Cientista de Dados Sênior,Bankly
Cientista de Dados,Shopee
Cientista de Dados II,Lumini IT Solutions
[Rodobens] - Cientista de Dados Pleno,Page Outsourcing Brasil
Cientista de Dados (Data Science),Tem talento? Me mostre o que tem.
Cientista de dados Sênior | Estratégia de Credito,PicPay
Cientista de Dados NLP,Indra
Cientista de Dados,NetBiis
[SICREDI] - Cientista de Dados Sênior,Page Outsourcing Brasil
None,Kroton
CIENTISTA DE DADOS (REMOTO),Sotran TMOV
None,Mirante Tecnologia
Cientista de Dados,IBM
None,THS TECNOLOGIA INFORMAÇÃO E COMUNICAÇÃO
Cientista de Dados,Keyrus Brazil
Cientista de dados,Qualificar TI
None,Ume
Cientista de Dados Pleno,Cielo
Cientista de dados (Processamento em Linguagem Natural (NLP)...,Indra
Cientista de Dados Especialista | CX | Ops,PicPay
None,Hoff Analytics
Cientista de Dados Sr,SBF - Vagas Tecnologia
Cientista de Dados,ViaHub
CIENTISTA DE DADOS - TRABALHO REMOTO OU HÍBRIDO,Eldorado
Cientista de Dados,Nkey
CIENTISTA DE DADOS SR,Porto Seguro
Cód. 3102 - Cientista de dados,Quality
Cientista de Dados Sênior,STORMGROUP
CIENTISTA DE DADOS,Grupo Sinagro
Cientista de Dados,NETBIIS SERVICOS DE INTERNET LTDA
Cientista de Dados Sênior,EY
Cientista de Dados Júnior,EY
Cientista de Dados Pl/Sr,Let's Code
Cientista de Dados Sênior TJ - SC,Véli RH
Cientista de Dados Sênior (Analista),Vivo Digital
Cientista de Dados Sr,EY
Cientista de Dados,Banco Bmg - Trabalhe conosco
Especialista Digital (Cientista de dados),Grupo Big
None,Jobbol
Pessoa Cientista de Dados,CERTI
Cientista de Dados Júnior,Amplifica Digital
Cientista de Dados/Engenheiro Machine Learning,Indra
Cientista de Dados,Mollica RH
None,Blend IT
ESPECIALISTA CIENTISTA DE DADOS,Energisa - Recrutamento Externo
Cientista de Dados SR,Stefanini
Cientista de Dados Sênior,Sympla
Gerente - Cientista de Dados,EY
Cientista de Dados,Saúde iD
Cientista de Dados Pleno,LogComex
Cientista de Dados - remoto,HOLDEN Recruiting Talents
Cientista de Dados Python,GeekHunter
Cientista de Dados – DialogFlow (Sênior e Especialista),C6 Bank
Cientista de Dados Sênior - Machine Learning,ViaHub
Cientista de Dados sênior Python,GeekHunter
Cientista de Dados Sr,PagSeguro PagBank
CIENTISTA DE DADOS PL / SR,Banco Bradesco SA
Engenheiro / Cientista de Dados (Trainee),Holos Media
CÓD. 034/2022 - CIENTISTA DE DADOS,Eldorado
Cientista de Dados Python Pleno,InCuca Tecnologia
Analista Pleno - Cientista de Dados,C6 Bank
Cientista de Dados Machine learning,GeekHunter
Cientista de Dados - Gerente 1,EY
Cientista de Dados,Robert Half
Cientista de Dados - Recursos Humanos,Dasa
Analista Sênior - Cientista de Dados – (NLP),C6 Bank
Cientista de Dados III,Solar Coca-Cola
Cientista de Dados Manager,EY
Consultor(a) Cientista De Dados,Vivo Digital
Cientista de Dados II,epharma
Cientista de Dados (Remoto),LOCALIZA
Cientista de Dados Sênior,Vindi
Cientista de Dados | Big Data & AI,Globo
CIENTISTA DE DADOS SR,Finch Soluções
Cientista de Dados,Grupo EasyTech
Cientista de Dados (TI),PetroReconcavo S.A.
Cientista de Dados,ValorH Consultoria e Treinamento
CIENTISTA DE DADOS,CASA&VIDEO
ESPECIALISTA DE PRODUTO (CIENTISTA DE DADOS),YDUQS
Cientista de Dados Sênior,C&A
Cientista de Dados - SÃO PAULO NEGÓCIOS,BURH
CIENTISTA DE DADOS,BuscarVagas
Cientista de Dados,innolevels - Leveraging your Business
Pessoa Cientista de Dados,Fluency Academy
Cientista de Dados PL,Zallpy Digital
Cientista de Dados,HPROJEKT
[Rodobens] - Cientista de Dados Sênior,Page Outsourcing Brasil
