ranking,codigo ibge,cidade ,estado,populacao,uf
1§,3550308,Sao Paulo,sp,12ÿ396ÿ372,sp
2§,3304557,Rio de Janeiro,rj,6ÿ775ÿ561,rj
3§,5300108,Bras¡lia,ÿdf,3ÿ094ÿ325,df
4§,2927408,Salvador,ba,2ÿ900ÿ319,ba
5§,2304400,Fortaleza,ce ,2ÿ703ÿ391,ce 
6§,3106200,Belo Horizonte,mg,2ÿ530ÿ701,mg
7§,1302603,Manaus,ÿam,2ÿ255ÿ903,am
8§,4106902,Curitiba,pr ,1ÿ963ÿ726,pr 
9§,2611606,Recife,pe,1ÿ661ÿ017,pe
10§,5208707,Goiƒnia,go,1ÿ555ÿ626,go
11§,1501402,Belem,pa ,1ÿ506ÿ420,pa 
12§,4314902,Porto Alegre,rs,1ÿ492ÿ530,rs
13§,3518800,Guarulhos,sp,1ÿ404ÿ694,sp
14§,3509502,Campinas,sp,1ÿ223ÿ237,sp
15§,2111300,Sao Lu¡s,ma,1ÿ115ÿ932,ma
16§,3304904,Sao Goncalo,rj,1ÿ098ÿ357,rj
17§,2704302,Macei¢,ÿal,1ÿ031ÿ597,al
18§,3301702,Duque de Caxias,rj,929ÿ449,rj
19§,5002704,Campo Grande,ms,916ÿ001,ms
20§,2408102,Natal,rn,896ÿ708,rn
21§,2211001,Teresina,pi,871ÿ126,pi
22§,3548708,Sao Bernardo do Campo,sp,849ÿ874,sp
23§,2507507,Joao Pessoa,pb,825ÿ796,pb
24§,3303500,Nova Igua‡u,rj,825ÿ388,rj
25§,3549904,Sao Jose dos Campos,sp,737ÿ310,sp
26§,3547809,Santo Andre,sp,723ÿ889,sp
27§,3543402,Ribeirao Preto,sp,720ÿ116,sp
28§,2607901,Jaboatao dos Guararapes,pe,711ÿ330,pe
29§,3170206,Uberlƒndia,mg,706ÿ597,mg
30§,3534401,Osasco,sp,701ÿ428,sp
31§,3552205,Sorocaba,sp,695ÿ328,sp
32§,3118601,Contagem,mg,673ÿ849,mg
33§,2800308,Aracaju,se,672ÿ614,se
34§,2910800,Feira de Santana,ba,624ÿ107,ba
35§,5103403,Cuiab ,mt,623ÿ614,mt
