,Posição,cidade,População,uf,cidade-uf
0,1º,sao-paulo,12 396 372,sp,sao-paulo-sp
1,2º,rio-de-janeiro,6 775 561,rj,rio-de-janeiro-rj
2,3º,brasilia,3 094 325,df,brasilia-df
3,4º,salvador,2 900 319,ba,salvador-ba
4,5º,fortaleza,2 703 391,ce,fortaleza-ce
5,6º,belo-horizonte,2 530 701,mg,belo-horizonte-mg
6,7º,manaus,2 255 903,am,manaus-am
7,8º,curitiba,1 963 726,pr,curitiba-pr
8,9º,recife,1 661 017,pe,recife-pe
9,10º,goiania,1 555 626,go,goiania-go
10,11º,belem,1 506 420,pa,belem-pa
11,12º,porto-alegre,1 492 530,rs,porto-alegre-rs
12,13º,guarulhos,1 404 694,sp,guarulhos-sp
13,14º,campinas,1 223 237,sp,campinas-sp
14,15º,sao-luis,1 115 932,ma,sao-luis-ma
15,16º,sao-goncalo,1 098 357,rj,sao-goncalo-rj
16,17º,maceio,1 031 597,al,maceio-al
17,18º,duque-de-caxias,929 449,rj,duque-de-caxias-rj
18,19º,campo-grande,916 001,ms,campo-grande-ms
19,20º,natal,896 708,rn,natal-rn
20,21º,teresina,871 126,pi,teresina-pi
21,22º,sao-bernardo-do-campo,849 874,sp,sao-bernardo-do-campo-sp
22,23º,joao-pessoa,825 796,pb,joao-pessoa-pb
23,24º,nova-iguacu,825 388,rj,nova-iguacu-rj
24,25º,sao-jose-dos-campos,737 310,sp,sao-jose-dos-campos-sp
25,26º,santo-andre,723 889,sp,santo-andre-sp
26,27º,ribeirao-preto,720 116,sp,ribeirao-preto-sp
27,28º,jaboatao-dos-guararapes,711 330,pe,jaboatao-dos-guararapes-pe
28,29º,uberlandia,706 597,mg,uberlandia-mg
29,30º,osasco,701 428,sp,osasco-sp
30,31º,sorocaba,695 328,sp,sorocaba-sp
31,32º,contagem,673 849,mg,contagem-mg
32,33º,aracaju,672 614,se,aracaju-se
33,34º,feira-de-santana,624 107,ba,feira-de-santana-ba
34,35º,cuiaba,623 614,mt,cuiaba-mt
35,36º,joinville,604 708,sc,joinville-sc
36,37º,aparecida-de-goiania,601 844,go,aparecida-de-goiania-go
37,38º,londrina,580 870,pr,londrina-pr
38,39º,juiz-de-fora,577 532,mg,juiz-de-fora-mg
39,40º,porto-velho,548 952,ro,porto-velho-ro
40,41º,ananindeua,540 410,pa,ananindeua-pa
41,42º,serra,536 765,es,serra-es
42,43º,caxias-do-sul,523 716,rs,caxias-do-sul-rs
43,44º,macapa,522 357,ap,macapa-ap
44,45º,niteroi,516 981,rj,niteroi-rj
45,46º,florianopolis,516 524,sc,florianopolis-sc
46,47º,belford-roxo,515 239,rj,belford-roxo-rj
47,48º,campos-dos-goytacazes,514 643,rj,campos-dos-goytacazes-rj
48,49º,vila-velha,508 655,es,vila-velha-es
49,50º,maua,481 725,sp,maua-sp
50,51º,sao-joao-de-meriti,473 385,rj,sao-joao-de-meriti-rj
51,52º,sao-jose-do-rio-preto,469 173,sp,sao-jose-do-rio-preto-sp
52,53º,mogi-das-cruzes,455 587,sp,mogi-das-cruzes-sp
53,54º,betim,450 024,mg,betim-mg
54,55º,boa-vista,436 591,rr,boa-vista-rr
55,56º,maringa,436 472,pr,maringa-pr
56,57º,santos,433 991,sp,santos-sp
57,58º,diadema,429 550,sp,diadema-sp
58,59º,jundiai,426 935,sp,jundiai-sp
59,60º,rio-branco,419 452,ac,rio-branco-ac
60,61º,montes-claros,417 478,mg,montes-claros-mg
61,62º,campina-grande,413 830,pb,campina-grande-pb
62,63º,piracicaba,410 275,sp,piracicaba-sp
63,64º,carapicuiba,405 375,sp,carapicuiba-sp
64,65º,anapolis,396 526,go,anapolis-go
65,66º,olinda,393 734,pe,olinda-pe
66,67º,cariacica,386 495,es,cariacica-es
67,68º,bauru,381 706,sp,bauru-sp
68,69º,itaquaquecetuba,379 082,sp,itaquaquecetuba-sp
69,70º,sao-vicente,370 839,sp,sao-vicente-sp
70,71º,vitoria,369 534,es,vitoria-es
71,72º,caruaru,369 343,pe,caruaru-pe
72,73º,caucaia,368 918,ce,caucaia-ce
73,74º,blumenau,366 418,sc,blumenau-sc
74,75º,petrolina,359 372,pe,petrolina-pe
75,76º,ponta-grossa,358 838,pr,ponta-grossa-pr
76,77º,franca,358 539,sp,franca-sp
77,78º,canoas,349 728,rs,canoas-rs
78,79º,pelotas,343 826,rs,pelotas-rs
79,80º,vitoria-da-conquista,343 643,ba,vitoria-da-conquista-ba
80,81º,ribeirao-das-neves,341 415,mg,ribeirao-das-neves-mg
81,82º,uberaba,340 277,mg,uberaba-mg
82,83º,paulista,336 919,pe,paulista-pe
83,84º,praia-grande,336 454,sp,praia-grande-sp
84,85º,cascavel,336 073,pr,cascavel-pr
85,86º,sao-jose-dos-pinhais,334 620,pr,sao-jose-dos-pinhais-pr
86,87º,guaruja,324 977,sp,guaruja-sp
87,88º,taubate,320 820,sp,taubate-sp
88,89º,palmas,313 349,to,palmas-to
89,90º,limeira,310 783,sp,limeira-sp
90,91º,camacari,309 208,ba,camacari-ba
91,92º,santarem,308 339,pa,santarem-pa
92,93º,petropolis,307 144,rj,petropolis-rj
