,Posição,Código IBGE,Município,População,uf
0,1º,3550308,São Paulo,12 396 372,sp
1,2º,3304557,Rio de Janeiro,6 775 561,rj
2,3º,5300108,Brasília,3 094 325,df
3,4º,2927408,Salvador,2 900 319,ba
4,5º,2304400,Fortaleza,2 703 391,ce
5,6º,3106200,Belo Horizonte,2 530 701,mg
6,7º,1302603,Manaus,2 255 903,am
7,8º,4106902,Curitiba,1 963 726,pr
8,9º,2611606,Recife,1 661 017,pe
9,10º,5208707,Goiânia,1 555 626,go
10,11º,1501402,Belém,1 506 420,pa
11,12º,4314902,Porto Alegre,1 492 530,rs
12,13º,3518800,Guarulhos,1 404 694,sp
13,14º,3509502,Campinas,1 223 237,sp
14,15º,2111300,São Luís,1 115 932,ma
15,16º,3304904,São Gonçalo,1 098 357,rj
16,17º,2704302,Maceió,1 031 597,al
17,18º,3301702,Duque de Caxias,929 449,rj
18,19º,5002704,Campo Grande,916 001,ms
19,20º,2408102,Natal,896 708,rn
20,21º,2211001,Teresina,871 126,pi
21,22º,3548708,São Bernardo do Campo,849 874,sp
22,23º,2507507,João Pessoa,825 796,pb
23,24º,3303500,Nova Iguaçu,825 388,rj
24,25º,3549904,São José dos Campos,737 310,sp
25,26º,3547809,Santo André,723 889,sp
26,27º,3543402,Ribeirão Preto,720 116,sp
27,28º,2607901,Jaboatão dos Guararapes,711 330,pe
28,29º,3170206,Uberlândia,706 597,mg
29,30º,3534401,Osasco,701 428,sp
30,31º,3552205,Sorocaba,695 328,sp
31,32º,3118601,Contagem,673 849,mg
32,33º,2800308,Aracaju,672 614,se
33,34º,2910800,Feira de Santana,624 107,ba
34,35º,5103403,Cuiabá,623 614,mt
35,36º,4209102,Joinville,604 708,sc
36,37º,5201405,Aparecida de Goiânia,601 844,go
37,38º,4113700,Londrina,580 870,pr
38,39º,3136702,Juiz de Fora,577 532,mg
39,40º,1100205,Porto Velho,548 952,ro
40,41º,1500800,Ananindeua,540 410,pa
41,42º,3205002,Serra,536 765,es
42,43º,4305108,Caxias do Sul,523 716,rs
43,44º,1600303,Macapá,522 357,ap
44,45º,3303302,Niterói,516 981,rj
45,46º,4205407,Florianópolis,516 524,sc
46,47º,3300456,Belford Roxo,515 239,rj
47,48º,3301009,Campos dos Goytacazes,514 643,rj
48,49º,3205200,Vila Velha,508 655,es
49,50º,3529401,Mauá,481 725,sp
50,51º,3305109,São João de Meriti,473 385,rj
51,52º,3549805,São José do Rio Preto,469 173,sp
52,53º,3530607,Mogi das Cruzes,455 587,sp
53,54º,3106705,Betim,450 024,mg
54,55º,1400100,Boa Vista,436 591,rr
55,56º,4115200,Maringá,436 472,pr
56,57º,3548500,Santos,433 991,sp
57,58º,3513801,Diadema,429 550,sp
58,59º,3525904,Jundiaí,426 935,sp
59,60º,1200401,Rio Branco,419 452,ac
60,61º,3143302,Montes Claros,417 478,mg
61,62º,2504009,Campina Grande,413 830,pb
62,63º,3538709,Piracicaba,410 275,sp
63,64º,3510609,Carapicuíba,405 375,sp
64,65º,5201108,Anápolis,396 526,go
65,66º,2609600,Olinda,393 734,pe
66,67º,3201308,Cariacica,386 495,es
67,68º,3506003,Bauru,381 706,sp
68,69º,3523107,Itaquaquecetuba,379 082,sp
69,70º,3551009,São Vicente,370 839,sp
70,71º,3205309,Vitória,369 534,es
71,72º,2604106,Caruaru,369 343,pe
72,73º,2303709,Caucaia,368 918,ce
73,74º,4202404,Blumenau,366 418,sc
74,75º,2611101,Petrolina,359 372,pe
75,76º,4119905,Ponta Grossa,358 838,pr
76,77º,3516200,Franca,358 539,sp
77,78º,4304606,Canoas,349 728,rs
78,79º,4314407,Pelotas,343 826,rs
79,80º,2933307,Vitória da Conquista,343 643,ba
80,81º,3154606,Ribeirão das Neves,341 415,mg
81,82º,3170107,Uberaba,340 277,mg
82,83º,2610707,Paulista,336 919,pe
83,84º,3541000,Praia Grande,336 454,sp
84,85º,4104808,Cascavel,336 073,pr
85,86º,4125506,São José dos Pinhais,334 620,pr
86,87º,3518701,Guarujá,324 977,sp
87,88º,3554102,Taubaté,320 820,sp
88,89º,1721000,Palmas,313 349,to
89,90º,3526902,Limeira,310 783,sp
90,91º,2905701,Camaçari,309 208,ba
91,92º,1506807,Santarém,308 339,pa
92,93º,3303906,Petrópolis,307 144,rj
93,94º,2408003,Mossoró,303 792,rn
94,95º,3552502,Suzano,303 397,sp
95,96º,3552809,Taboão da Serra,297 528,sp
96,97º,5108402,Várzea Grande,290 383,mt
97,98º,3552403,Sumaré,289 875,sp
98,99º,1504208,Marabá,287 664,pa
99,100º,4309209,Gravataí,285 564,rs
100,101º,4316907,Santa Maria,285 159,rs
101,102º,3127701,Governador Valadares,282 164,mg
102,103º,3505708,Barueri,279 704,sp
103,104º,3515004,Embu das Artes,279 264,sp
104,105º,2307304,Juazeiro do Norte,278 264,ce
105,106º,3306305,Volta Redonda,274 925,rj
106,107º,2403251,Parnamirim,272 490,rn
107,108º,3131307,Ipatinga,267 333,mg
108,109º,3302403,Macaé,266 136,rj
109,110º,3520509,Indaiatuba,260 690,sp
110,111º,2105302,Imperatriz,259 980,ma
111,112º,4108304,Foz do Iguaçu,257 971,pr
112,113º,3513009,Cotia,257 882,sp
113,114º,4323002,Viamão,257 330,rs
114,115º,3548906,São Carlos,256 915,sp
115,116º,4216602,São José,253 705,sc
116,117º,4105805,Colombo,249 277,pr
117,118º,3302502,Magé,247 741,rj
118,119º,4313409,Novo Hamburgo,247 303,rs
119,120º,5218805,Rio Verde,247 259,go
120,121º,3301900,Itaboraí,244 416,rj
121,122º,3501608,Americana,244 370,sp
122,123º,3522505,Itapevi,244 131,sp
123,124º,3167202,Sete Lagoas,243 950,mg
124,125º,3122306,Divinópolis,242 505,mg
125,126º,3529005,Marília,242 249,sp
126,127º,3503208,Araraquara,240 542,sp
127,128º,4318705,São Leopoldo,240 378,rs
128,129º,5107602,Rondonópolis,239 613,mt
129,130º,3519071,Hortolândia,237 570,sp
130,131º,3524402,Jacareí,237 119,sp
131,132º,2700300,Arapiraca,234 309,al
132,133º,3300704,Cabo Frio,234 077,rj
133,134º,3541406,Presidente Prudente,231 953,sp
134,135º,2307650,Maracanaú,230 986,ce
135,136º,5003702,Dourados,227 990,ms
